emotion,essay,Unnamed: 2
disgust,superior summer job swindled customers much could put difficult situation could detest,
shame,arrived two hours late work place bank still feeling feeble tired,
guilt,association polish visitors going back boat go see chairman association,
joy,told quite unexpectedly one wanted become vicechairman student organisation really surprised joy first emotion felt though behind worry shall succeed,
fear,tutorial group soon divided got list names freshmen five group read names group went way seminar room wondered would cope new situation would succeed group leader,
anger,disco evening pleasant despite knowing angry companion let feel bad humour hide feelings,
sadness,grandmother died mother called one sunday morning autumn way mother told hated moment sounded waiting death grandmother lost person close felt guilty bad grandmother late remained calm longer understood everything well,
disgust,underground station drunkard came speak tried ask something answer began speak companion detested dirty growling man,
shame,worried task related studies done groups two talking friends said something negative abrupt manner concerning work partner quite mean said felt ashamed mean enough criticize also friend mine,
guilt,told boyfriend want go relationship knew important wanted free saw difficult remained firm change mind,
joy,last night chat fellow student known half year first time speaking language meaning inspiring discussion encounter,
anger,sometimes quarrel mother blames though way connected events,
sadness,hearing death grandfather first could believe later wept felt situation hopeless felt lonely wanted consolated,
disgust,evening watching tv little brother came started eating food brought kitchen trying concentrate program,
shame,little brother arrested police railway station drunk beer,
guilt,temporary job restrict others actions make obey often gives feeling guilt wish could way acting,
joy,met dear friend mine long time expressed feelings usual way mutual scolding abusing complete understanding touching patting taking hand person etc,
fear,felt fear purest kind car accident incident images horror kept coming back mind wondered could happened sister friend though nothing serious actually happened,
anger,two boys know telling indecent manner teased young shy girl know despised conviction scorned touched got angry try conceal gave back,
sadness,sweetheart left rather decided break mutual consent consequences unrestrained weeping feelings loneliness hopelessness disconsolation felt find friend talk joyfully forget,
disgust,sheer curiosity went see pornographic movie copenhagen room full men panted masturbated disgusting,
shame,quarelled unnecessarily without reason stupidly cross every way,
guilt,forced fill questionnaire,
joy,tennis match,
fear,dog ran thin ice last spring,
anger,tennis match interrupted kid cycled right court,
joy,celebrations graduation day orchestra playing garden part orchestra,
fear,risk involved fight party,
anger,heavy work load two colleagues nothing disturbed terror ringing ie continously interrupting telephoning,
sadness,exam failed,
shame,overtook car mainroad misjudging distance oncoming car resulted tooting flashing driver could collided acquaintance car,
guilt,saw neighbour appartment block lying road could injured ill kept metres away go help,
joy,met old schhol friend school love,
fear,cycling school nearly got knocked car overtook closely give swerving space,
anger,deputy manager summer certain deputies took liberties normal,
sadness,realized girlfriend like going separate,
disgust,dog dirt thaws spring,
shame,forgot mothers birthday,
guilt,think anything,
joy,passed last exam,
fear,nearly knocked car,
anger,reached bus stop realized forgotten bus pass,
sadness,current work load much feeling comes back time time,
joy,one year old son gives spontaneous kiss,
fear,someone close travelling car delayed,
anger,someone something wrong affects negatively,
sadness,think parents getting old,
guilt,time peoples problems motherinlaw sometimes depressed time desire strength help,
joy,excolleague asked interested working accounts bureau needed clever people immediately thought,
fear,driving deer suddenly appeared front car lot traffic behind,
anger,saw report tv news apartheid south africa,
joy,girlfriend became pregnant,
fear,nearly collided another car,
anger,time someone let air tyres cycle,
sadness,read lot remember anything,
guilt,time put dog sleep,
sadness,long illness,
joy,passed exam,
fear,travelling tram tripped fell door thought going fall,
anger,missed tram run,
sadness,inability read book college,
disgust,guy one interested makes advances,
shame,drink wine often,
guilt,study enough understand properly,
joy,worked lawyers office summer got good reference,
fear,watching triller dark night country go outside toilet,
anger,accused something done get unbelievably angry,
sadness,began read thick book limited time read also lot work keep,
disgust,someone vomited street,
shame,think incident felt ashamed small incidents ashamed instance sending money children ethiopia,
guilt,lunch exboyfriend mention fiancee felt guilty despite fact felt nothing exboyfriend,
joy,finally qualified profession,
fear,someone attacked knife,
anger,someone drove car denied happened,
sadness,told friends wife cancer,
disgust,saw dog knocked car,
shame,boxed childs ears,
guilt,fined speeding,
joy,stopped working boring job,
fear,going home car late one night cold dark windy became rather panicky way house,
anger,quarrel family,
sadness,alone room contact anyone loneliness drains,
disgust,holiday someone vomited front,
shame,emptied bucket water hospital,
guilt,feigned sick leave work,
joy,get hug someone love,
fear,driving fast small road met oncoming car right handed bend driver side road skid avoid collision dark,
anger,car towed away traffic police wrongly parked however sign put already parked,
sadness,operation stay bed long time,
disgust,forced stay canteen eat food asked got anyway,
shame,buy promised,
guilt,mistake took book library supposed loaned,
joy,unexpected sum money,
fear,year old daughter disappeared moment inattention responsible,
anger,colleague asked advice enough confidence asked third person,
sadness,wanted pregnant succeed depressed every menstruation,
disgust,warm bus full people someone vomited whole bus stank,
shame,complained colleagues behaviour goes back word often absent irresponsible found alcoholic trying fight againt addiction,
guilt,spoke mother phone skin cancer waiting operated forgot ask date operation finishing conversation gave date passing,
joy,party met old friend adult education course met years thought lot wonderful experience,
fear,cycling park late one night two people jumped woods tried stop shouting something time,
anger,close relatives tried dissuade studying psychology low status,
sadness,long discussion politics acquaintance knowledgeable failed explain point view misunderstood felt depressed left,
disgust,read newspaper article young girl raped assaulted one night several men unconscious,
shame,mother revealed personal details negative aspects character people present unable defend,
guilt,unfaithful partner working abroad long period,
joy,recently got appartment central gottenburg,
fear,saw large spider crawling wall,
anger,employer took many aspirins bad back also drank enormous amount spirit dangerous understand done anything wrong,
sadness,left new york family friends behind,
disgust,slept guy best friend wanted never intercourse anyone terrible complex,
shame,dated close girlfriends boyfriend times told accepted found finished friendship,
guilt,broke boyfriend three years quite unexpected particular reason break someone else,
joy,son returned mountaineering healthy body soul,
fear,one meets new people one forced collaborate,
anger,sports fishermen catch gulls instead fish hooks often mistake makes angry,
sadness,feel sad event influence,
disgust,member family complains food served disgusts,
guilt,chosen put son private school examination marks low every time gives term results left sense guilt,
joy,informed accepted student psychology,
fear,little fishing boat ran hard weather open sea,
anger,found guy dating particular time steady relationship going someone else long time,
sadness,felt sad depressed heard cat died,
disgust,working nurse mental hospital patient ate contents another patients spitoon,
shame,primary school vomited front others middle lesson,
guilt,arrived hour late important meeting misunderstood time,
joy,acceptted student psychology,
fear,son pain leg apparent reason,
anger,week school teacher sent note home saying son inattentive unable lessons,
sadness,thought going impossible start studying due wrong information student advisor,
disgust,certain persons lack cleanliness home personally,
shame,made mistake accused someone else obvious third pereson,
guilt,lost something valuable sister,
joy,son born,
fear,nearly drowned icy water wearing ice skates difficult get,
anger,pointed problem child primary school mother took teachers point view,
sadness,accused neglecting work wrong reasons,
disgust,parents attitude towards become reconciled despite fathers longtime addiction,
shame,caught stealing money father,
guilt,stole coconut cake reception table put mouth realized host watching,
joy,months national service downgraded remaining months,
fear,reprimanded manager hotel worked autumn,
anger,parents drove nearby place went home immediately instead waiting hours could easily waited,
sadness,exgirlfriend discovered certain risk pregnant,
disgust,clean draining board saw looked underneath sink live students hostel,
shame,mother caught masturbating,
guilt,person family academics ought looked younger sister better respect education life experiences,
joy,older sister told us thinking joining rest family winter sports holiday,
fear,slept chapel middle night realized someeone else chapel never discovered,
anger,high school guys sometimes provoked friend mine called pig grunted irritated girls one girls got angry friend said something nasty made terribly angry,
sadness,talked boyfriend phone high spirits lot tell looking forward conversation listen extent anticipated,
disgust,mother shouts child nothing,
shame,complained mother untidy kitchen loooked boxed ears never happened,
guilt,could home midnight called home asked leave door open could get actually woke whole family calling late mother could go back sleep besides conference next day really needed sleep,
joy,got first day department,
fear,cycling past parked car someone opened door nearly pushed bike traffic,
anger,boyfriend sat half night playing computer games friend,
sadness,leave mother sister weeks visit,
disgust,saw big spider close,
shame,asked friend return money loaned remembered repayed several ways,
guilt,one parents insinuates something divorced,
joy,asked childs godmother,
fear,way ski slope difficult steep,
anger,mother interfered life,
sadness,left alone one weekend without prepared,
disgust,first time saw surgeon cut leg put black rubbish bag,
shame,forgot meeting work,
guilt,demand much friends,
joy,husband suddenly came see new job brought flowers cake,
fear,nearly attackad man chasing,
anger,father asked communist time made clear longer see daughter,
sadness,applied job thought good chance getting even granted interview get job,
disgust,tv features showing violation defenceless people,
shame,child playing doctor neighbours boys mother caught us,
guilt,husband talked restrictions accept life make marriage work felt directed demanded changes marriage counsellor,
joy,able afford new sofa leather one cost sek waited years,
fear,vertigo standing ladder painting house,
anger,boss enrolled course satisfy ends trample associates misfortune one superiors course,
sadness,argue mother way treats two children differently,
disgust,spit vomit,
shame,spots seat covers husbands car,
guilt,speaking sisterinlaw due lack interest relationship side,
joy,recently managed get first consulting assignment ie initiative,
fear,within hairs breadth knocking drunkard suddenly ran street fear came later realized could happened,
anger,friend usual forgot tickets home performance missed,
sadness,elections thought social democrat communist majority could achieve especially worker share funds extension,
disgust,study visit chicken factory butchery smell environment noise,
shame,confession parents involvement moped theft,
guilt,answer see little difference shame guilt therefore see answer shame,
joy,appointed position trust group set change working environment,
fear,alone cottage often stay woken rustling sound middle night,
anger,tried explain plumber face face toilet broken believe mended ten times,
sadness,result project work treated nonchalantly intead criticized teacher,
disgust,programmes violence pornography shown tv,
shame,talked maliciously colleague work someone else immediately afterwards felt ashamed,
guilt,decided take week holiday without consulting family first,
joy,girl talked things relationship changed became positive diificult time turned pleasant one,
fear,could land plane knew fuel running bad weather already frightened us,
anger,read reagans tactical decision concerning south african boycott,
sadness,half brother became seriously ill cancer died later,
disgust,film woman attacked raped one see worst desired effect strong,
shame,made comment interpreted completely differently meant said realized mother understood,
guilt,promised visit girlfriend different reasons could make rang later tell could come,
joy,offered high position trust later accepted,
fear,window open door shut kitten would go partner came started talking something forgot window suddenly saw kitten hanging window frame rigid fright till got hold,
anger,noisy guests arrived hotel slightly irritated earlier night trying sleep party went yelled wanted sleep get early next day,
sadness,told successful getting job expecting sure sufficiently qualified,
disgust,cat vomited worm came still alive forced wipe,
shame,child found taken clothes outdoors summer friend woods felt exciting time parents discovered trousers back front felt ashamed,
guilt,stole money mother asked later responsible never admitted,
joy,cycling spring sunshine gives delight happiness healthy wonderful finance simply earth,
fear,relationship family poor often fear excluded group fear stronger situations argument hand,
anger,recently sister four years younger spoiled shouted mother apparent reason heartbroken expression mothers face made feel angry,
sadness,watched tv programme called living planet saw far reaching environmental destruction caused man,
disgust,disgust feeling never experienced peoplie hand repulsive animals ie snakes tv,
shame,relatives acted strangely unfriendly towards,
guilt,due hunger tiredness became generally irritated fiancee made cutting remarks really hurt later realized unfounded irritation hurt person love earth,
joy,boat trip denmark us lot fun spent sek one armed bandits odds jackpot sek,
fear,rainy day cycling downhill car door suddenly opened trying avoid back wheels bike got caught tram tracks somersaulted injuries,
anger,way home marstrand driving behind fathers car another car tried push front father forced swerve thus collided car pillar car drove without even seeing happened,
sadness,girlfriend spent months abroad broke relationship letter,
disgust,police centre man brought drunk likelihood slept indoors long time relieved trousers,
shame,customer shop worked came asked goods ordered arrived totally forgotten order tried offer weak excuses,
guilt,years old hid bicycle keys good friend hours pretended found,
joy,endofterm party last week fun happy sang drank soft drinks possible good time without alcohol,
fear,last summer walking along beach bikini awful man came cycling shouting ran fast legs could carry,
anger,course thought deserved good marks got ordinary marks justification given marks,
sadness,crashed car scrapped fault feel depressed miss car,
disgust,sort stomach virus last week vomited college morning cake shop three times trip home got home,
shame,evening school teacher job make coffee able get coffee ready time thus arrived half hour late class top coffee undrinkable,
guilt,many years ago friend wanted southern europe preferred travel alone felt guilty wanted go,
joy,felt love returned,
fear,convinced someonne broken flat woke heard sounds frightened,
anger,became clear man used many people sexually psychologically despite fact many people looked understood one could trust forced hide,
sadness,feel helpless tried help someone without result,
disgust,think way father behaved filing divorce,
shame,year old wet school,
guilt,year old stole money mother,
joy,recently got positive answer clinic telling would willingly assist collect data clinical pilot study,
fear,every time meet certain dog bitten,
anger,lot provocation child threw plate floor,
sadness,realized could communicate properly closest friend,
disgust,tried explain child magazines wiith naked girls kiosk,
shame,stole packet cigarettes neighbour next day owned returned,
guilt,forced decline invitation mothers th birthday work committments another area,
joy,began dansing teacher came told good would soon get ballet academy,
fear,late saturday night found locked central underground station stockholm group hard rockers drunk equipped various kinds chains etc,
anger,forced call telephone company bill concerning disconnected phone belonging landlord bill four months overdue meanwhile using phone seemed intention phone reconnected,
sadness,whenever read think way people treat animals nature,
disgust,saw tv programme animals film world mistreated used,
shame,years old wrote passionate love letters boyfriend later found sister read,
guilt,hated one mmy flatmates nice,
joy,month old son happy well,
fear,four year girl ran away father straight front car forced use emergency brakes,
anger,examine satisfied,
sadness,colleague failed contact arranged time,
disgust,read racist slogans walls,
shame,swedens arms exports,
guilt,something promised,
joy,gave birth healthy boy,
fear,husband spent night house area outskirts large town familiar heard strange noises outside house house glass walls whole thing even frightening,
anger,jealous husbands old girlfriend met husband lot reminiscing,
sadness,daughter problems friends could see predicament window given cold shoulder,
disgust,auxiliary nurse hospital change nappies first time old sick woman,
shame,friends found lying particular occasion,
guilt,middle child became difficult handle birth baby brother patience,
joy,husband decided take days holiday particularly trying period,
fear,hospital visit prior dc anasthesia expected miscarriage,
anger,exchange points view sister family matter,
sadness,treatment become pregnant negative result,
disgust,woke one morning went kitchen discovered dog diarrhoea small piles floor smell choking,
shame,young make toilet time hid dirty trousers cellar feared discovered parents,
guilt,work boy injured lack supervision,
joy,gave birth child saw normal put breast,
fear,labour foetal sounds became faint big alert forceps delivery,
anger,cash desk gone buy rolls kitchen paper reduced price queuing screaming children turned taken two roll packets instead one roll packet rebate applied assistant said get another time,
sadness,first heard tage dannielsson died,
disgust,lift stockholm central station stank vomit urine,
shame,train drunk person touched baby reacted disapprovingly felt ashamed later person aggressive though could,
guilt,get irritated son screams sick clean clothes,
joy,high school entrance exam,
fear,gang screaming drunk youths captured tram,
anger,unjust refree decision sports event team leader,
sadness,girlfriend left,
disgust,dominated certain person even though knew could change reactions,
shame,given detention secondary school,
guilt,splashed child slowing driving puddle water,
joy,yesterday final whistle blew final match ois ifk certain ois swedish title,
fear,teaching someone drive crash scared,
anger,drummer borrowed drums destroyed drumskin sticks repair tell,
sadness,dad gives priority kid brothers band activities play different bands rehearse parents garage,
disgust,friend unjustly put blame relieve conscience also spread lies purpose,
shame,behaviour recent party passed early luckily,
guilt,face face deceived friend sleeping wife,
joy,dived among sharks brightly coloured fish outer reef tvavni fidgi,
fear,missed crashing hairs breadth man came metres ahead driving kmh,
anger,told computer teacher want teach beacause prejudice,
sadness,could anything bad back,
disgust,discovered house hired tonga full cockroaches,
shame,excreted mat instead potty,
guilt,pulled chair someone kindergarten hit head,
joy,passed driving test three weeks ago got licence,
fear,car driving skidded icy road landed ditch one side rock,
joy,met friends seen last years,
fear,guy chased jogging,
anger,morning newspaper arrived,
joy,feel unbelievably happy relationship boyfriend reoccurring feeling,
fear,reoccurring fear something happen relatives,
anger,argue boyfriend feel though feels superior,
sadness,failed exam last summer worked hard disappointed thinking hopeless continue college overreact,
guilt,argue sister feels sometimes upper hand use often argue better makes terribly angry,
joy,happy got attractive summer job,
joy,birth child,
fear,leave baby carriage go shopping fear something happen baby,
anger,winter water pipes froze water two days,
sadness,quite succeed breast feeding baby,
disgust,smell garlic rushhour bus,
shame,fell ground crossing street cap covered eyes felt quite difficult,
guilt,twomonth old baby came university attend lectures leave baby father felt guilty,
joy,christmas holidays met old friends seen six months,
fear,driving car friend mine turned wrong direction towards unknown district nearly drove precipice,
anger,religion teacher presented shocking sectarian thoughts dooms day official teaching,
sadness,grandfather died exchange student usa,
disgust,happened see videotape movie america part one friends place,
shame,insulted couple good friends mine even tried hit drunk next day ashamed course,
guilt,stole carrots got caught apologize owner,
joy,undergrounds escalator youngish bum asked money although give anything fellow told really goodlooking man front also turned look,
fear,afraid moving away home moving helsinki studies,
anger,student kitchen share somebody drank juice pot one litre got one glass whole pot,
sadness,father gave money brother,
disgust,weekend home mother fries greasy unhealthy meat dishes make feel sick,
shame,wearing slippery shoes tumbled place many people walking,
guilt,ate runebergs cake though knew would immediately put kilo,
fear,nine pm went home bike dark cycletrack lack time take shortcut,
fear,go home foot pass forest going alone,
anger,missed train wait next two hours reason missed appointment important,
sadness,grandmother died lived ten years,
disgust,went home train sicilia molested man,
shame,lied someone time later person found told truth,
guilt,decline appointment important person reason even got trouble,
joy,person bad terms gave present became reconciled,
fear,friends father died come see friend although know family,
anger,watching tv friend first film wanted watch another film channel friend switched cannel without asking wanted,
sadness,boyfriend seperated initiative,
disgust,friends boyfriend treated badly let serve provoked utilized,
shame,lied person thought could tell truth found angry understanding talked whole thing,
guilt,told person unpleasant things bad manner depressed caused accident,
joy,considered hours able overcome scruples call friend fallen love realized decision right glad,
fear,slept short time woke feeling someone standing beside frightened turn light turn light several minutes able get sleep,
anger,moved flat friend lived left flat terrible mess angry sloppiness impudence,
sadness,father complicated operation long time also long time know would get time felt sad,
disgust,tramwaycarriage stranger insulted girl blew nose detested behaviour,
shame,quite recently realized erroneous views life instance always lived people forgotten person suppressed feelings ashamed concious conversation person,
guilt,quarrel near persons said many illconsidered things regretted late,
joy,summer sailing friends greece felt joy,
fear,riding friend car speed kmh snowcovered motorway would liked get,
guilt,meeting male friend whose wife affair,
joy,walking along beach friend another girl talking picking shells laughing chasing seagulls,
fear,climbing mountain see view towards top suddenly came across ledge nearly sheer drop either side cross,
anger,friend suggested roundabout way reason late something im often late know partly true felt unjustified particular time felt couldnt anything anyway ie late,
sadness,talking good friend bad experience changing whole way looking life etc,
disgust,came across group people basic ideasbeliefs fighting going would say good,
shame,working job could work quickly enough told work standard,
guilt,wasted time instead something needed give friend also time wasted done things consider morally right,
joy,meeting old friend mine,
fear,brother late arriving home work,
anger,fight best friend,
sadness,dog died,
disgust,movie saw effect white settlers africa,
shame,got bad result one assignments,
guilt,leaving friend mine alone dance felt kept company,
joy,realised forgiven god realised much god loves acceptance based performance loves unconditionally showed love christ died need forgiveness,
fear,fear paralysing would accepted god believed morally bankrupt becoming christian realising christ came free us sin forgive us,
anger,fathers treatment mother disregard committed,
sadness,lack love father mum sadness anyone else realise much love happiness could much damaging apart mum,
disgust,capable selfishly using others sexual encounters held vision deepening aboveboard know girl next door devotion girl head drives actions match consequently felt disgusted failure,
shame,using people sexual experience using another detriment anxiety may affected another worst,
guilt,guilt living moral expectation guilt type person patents wanted guilt bloody everything realising failed drastically eyes,
fear,rockclimbing absailing felt ok suddenly going cliff hit fear couldnt go absailing cliff actually hauled back,
anger,told boy friend park certain place car would ger towed away didnt listen towed away stage finances poverty line cost us money get us week including rent,
sadness,sister scholarship norway particularly walked across tarmac get plane looked back us,
disgust,work parttime shopassistant customer spoke loudly indian man white woman children horrible would want little dark children,
shame,mother told uncle roman catholic priest redemptist father living defacto relationship three years angry,
guilt,snapped abruptly mother said something silly stupid front people looked defenceless hurt told im always,
joy,received wedding invitation exflatmate enclosed small note overcame lot differences arisen us due circumstances left flat,
fear,one afternoon helping home property mustering getting cattle bull turned came,
anger,getting terrible exam mark couldnt understand reason trying see lecturer tutor given runaround,
sadness,watching old lady running street catch bus miss reminded mother dreadful would situation,
disgust,coming home one night sister home drinking heavily started picking arguments,
fear,travelling car meet oncoming car overtaking,
anger,close relative treated badly,
sadness,close friend died,
disgust,saw starving people ethiopia tv felt awful see suffering,
guilt,mistake occurred work responsible disclosed later,
joy,called boyfriend asked would live,
fear,last summer italy attacked dogit terrible feel untidy dirty dog naked skin,
anger,fathers new fiancee treats like child trust constantly misunderstands get particularly angry says nasty things boyfriend works,
sadness,guy love told met someone else would meet year although steady relatioship affair,
joy,love guy returned,
fear,think death parents brothers sisters,
anger,parents approve choice boyfriend exboyfriend happened years older considered completely unsuitable idiot,
disgust,uncle comes times year traditional christmas dinner grandparents relatives drunk,
guilt,living home summer vacations towards end decided take clothes belongings appartment guttenburg finished went exboyfriends relationship uncertain home stayed till leave parents needed car work morning parents like boyfriend,
joy,met present boyfriend boat trip england said would call got back sweden going town england soon walked called england could wait till came home,
fear,mothers heart nearly stopped,
anger,sofa flat belonged old tenants acquaintances picked year ago postponed eventually decided one date stayed home despite fact things come call still got touch,
sadness,exboyfriend separated,
disgust,intoxicated men incite fight met vile smelling man tram got closer closer till got got angry,
guilt,nephew asked tell story simply energy saw disappointment terribly guilty read story,
joy,fell love,
fear,earlier afraid speaking front crowd people,
anger,girl went another guy,
sadness,setbacks,
disgust,worked harbour emptied latrine containers back lorries,
shame,day night drank much party,
joy,accepted student psychology gutttenburg,
fear,woke middle night jumped shouted fear thought someones cold hand something similar touched hand crept covers went back sleep,
disgust,young teenager brotherinlaw made heavy advances understand well reacted strongly feelings still,
